HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Bangor, ME","1,094",100,400,747,28,64,"318,554","77,904","63,711","13,585","3,003",906,227%,121%,83%,453,113%,61%,41%,295,74%,39%,27%,200,714%,313%,200%,100,357%,156%,100%,65,232%,102%,65%
"Boston, MA","10,239","1,157","2,548","6,393",438,798,"4,022,208","782,014","804,442","167,702","36,098","11,180",439%,175%,109%,"5,590",219%,87%,55%,"3,646",143%,57%,36%,"2,407",550%,302%,208%,"1,203",275%,151%,104%,785,179%,98%,68%
"Bridgeport, CT","1,354",132,370,862,65,99,"539,133","102,171","107,827","22,428","4,815","1,495",404%,173%,110%,748,202%,87%,55%,488,132%,57%,36%,321,494%,324%,243%,160,246%,162%,121%,105,162%,106%,80%
"Burlington, VT","1,743",117,587,"1,165",65,91,"522,720","104,104","104,544","21,841","4,714","1,456",248%,125%,84%,728,124%,62%,42%,475,81%,41%,27%,314,483%,345%,268%,157,242%,173%,134%,102,157%,112%,87%
"Hartford, CT","2,855",323,751,"1,803",115,219,"1,196,337","245,503","239,267","50,125","10,853","3,342",445%,185%,117%,"1,671",223%,93%,59%,"1,090",145%,60%,38%,724,630%,331%,224%,362,315%,165%,112%,236,205%,108%,73%
"Lebanon, NH",939,105,333,636,56,80,"320,499","77,792","64,100","13,657","3,016",910,273%,143%,97%,455,137%,72%,48%,297,89%,47%,32%,201,359%,251%,191%,101,180%,126%,96%,66,118%,83%,63%
"Manchester, NH","1,603",137,582,"1,092",53,95,"714,679","143,594","142,936","29,886","6,456","1,992",342%,182%,124%,996,171%,91%,62%,650,112%,60%,41%,430,811%,453%,314%,215,406%,226%,157%,140,264%,147%,102%
"New Haven, CT","2,825",286,610,"1,717",118,202,"1,177,072","244,084","235,414","49,366","10,701","3,291",540%,192%,116%,"1,646",270%,96%,58%,"1,073",176%,62%,38%,713,604%,353%,249%,357,303%,177%,125%,233,197%,115%,81%
"Portland, ME","2,524",209,710,"1,617",92,151,"876,231","194,509","175,246","36,992","8,082","2,466",347%,153%,98%,"1,233",174%,76%,49%,804,113%,50%,32%,539,586%,357%,258%,269,292%,178%,129%,176,191%,117%,84%
"Providence, RI","2,249",293,690,"1,470",82,188,"986,702","192,737","197,340","41,157","8,863","2,744",398%,187%,122%,"1,372",199%,93%,61%,895,130%,61%,40%,591,721%,314%,202%,295,360%,157%,101%,193,235%,103%,66%
"Springfield, MA","1,588",195,500,"1,044",73,134,"600,306","123,079","120,061","25,150","5,445","1,677",335%,161%,106%,838,168%,80%,53%,547,109%,52%,34%,363,497%,271%,186%,182,249%,136%,93%,118,162%,88%,61%
"Worcester, MA","1,525",169,425,975,43,106,"652,386","122,123","130,477","27,111","5,812","1,807",425%,185%,118%,904,213%,93%,59%,589,139%,60%,39%,387,900%,365%,229%,194,451%,183%,115%,126,293%,119%,75%
